"Ständige und nichtständige Wohnbevölkerung nach institutionellen Gliederungen, Geburtsort und Staatsangehörigkeit"

"Jahr";"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Bevölkerungstyp";"Geburtsort";"Nordmazedonien"
"2018";"......0302 Bargen (BE)";"Ständige Wohnbevölkerung";"Geburtsort - Total";12
"2018";"......0303 Grossaffoltern";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0304 Kallnach";"Ständige Wohnbevölkerung";"Geburtsort - Total";11
"2018";"......0305 Kappelen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0306 Lyss";"Ständige Wohnbevölkerung";"Geburtsort - Total";187
"2018";"......0309 Radelfingen";"Ständige Wohnbevölkerung";"Geburtsort - Total";1
"2018";"......0310 Rapperswil (BE)";"Ständige Wohnbevölkerung";"Geburtsort - Total";1
"2018";"......0311 Schüpfen";"Ständige Wohnbevölkerung";"Geburtsort - Total";1
"2018";"......0312 Seedorf (BE)";"Ständige Wohnbevölkerung";"Geburtsort - Total";10
"2018";"......0381 Arch";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0382 Büetigen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0383 Büren an der Aare";"Ständige Wohnbevölkerung";"Geburtsort - Total";64
"2018";"......0385 Diessbach bei Büren";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0386 Dotzigen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0388 Leuzigen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0389 Meienried";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0391 Oberwil bei Büren";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0393 Rüti bei Büren";"Ständige Wohnbevölkerung";"Geburtsort - Total";1
"2018";"......0394 Wengi";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0491 Brüttelen";"Ständige Wohnbevölkerung";"Geburtsort - Total";14
"2018";"......0492 Erlach";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0493 Finsterhennen";"Ständige Wohnbevölkerung";"Geburtsort - Total";2
"2018";"......0494 Gals";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0495 Gampelen";"Ständige Wohnbevölkerung";"Geburtsort - Total";2
"2018";"......0496 Ins";"Ständige Wohnbevölkerung";"Geburtsort - Total";37
"2018";"......0497 Lüscherz";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0498 Müntschemier";"Ständige Wohnbevölkerung";"Geburtsort - Total";42
"2018";"......0499 Siselen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0500 Treiten";"Ständige Wohnbevölkerung";"Geburtsort - Total";4
"2018";"......0501 Tschugg";"Ständige Wohnbevölkerung";"Geburtsort - Total";1
"2018";"......0502 Vinelz";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0734 Bühl";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0735 Epsach";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0736 Hagneck";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0737 Hermrigen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0738 Jens";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
