"Ständige und nichtständige Wohnbevölkerung nach institutionellen Gliederungen, Geburtsort und Staatsangehörigkeit"

"Jahr";"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Bevölkerungstyp";"Geburtsort";"Nordmazedonien"
"2018";">> Verwaltungskreis Obersimmental-Saanen";"Ständige Wohnbevölkerung";"Geburtsort - Total";21
"2018";"......0791 Boltigen";"Ständige Wohnbevölkerung";"Geburtsort - Total";4
"2018";"......0792 Lenk";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0793 St. Stephan";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0794 Zweisimmen";"Ständige Wohnbevölkerung";"Geburtsort - Total";13
"2018";"......0841 Gsteig";"Ständige Wohnbevölkerung";"Geburtsort - Total";2
"2018";"......0842 Lauenen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0843 Saanen";"Ständige Wohnbevölkerung";"Geburtsort - Total";2
"2018";">> Verwaltungskreis Frutigen-Niedersimmental";"Ständige Wohnbevölkerung";"Geburtsort - Total";58
"2018";"......0561 Adelboden";"Ständige Wohnbevölkerung";"Geburtsort - Total";13
"2018";"......0562 Aeschi bei Spiez";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0563 Frutigen";"Ständige Wohnbevölkerung";"Geburtsort - Total";23
"2018";"......0564 Kandergrund";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0565 Kandersteg";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0566 Krattigen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0567 Reichenbach im Kandertal";"Ständige Wohnbevölkerung";"Geburtsort - Total";1
"2018";"......0761 Därstetten";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0762 Diemtigen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0763 Erlenbach im Simmental";"Ständige Wohnbevölkerung";"Geburtsort - Total";1
"2018";"......0766 Oberwil im Simmental";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0768 Spiez";"Ständige Wohnbevölkerung";"Geburtsort - Total";20
"2018";"......0769 Wimmis";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";">> Verwaltungskreis Interlaken-Oberhasli";"Ständige Wohnbevölkerung";"Geburtsort - Total";40
"2018";"......0571 Beatenberg";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0572 Bönigen";"Ständige Wohnbevölkerung";"Geburtsort - Total";1
"2018";"......0573 Brienz (BE)";"Ständige Wohnbevölkerung";"Geburtsort - Total";8
"2018";"......0574 Brienzwiler";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0575 Därligen";"Ständige Wohnbevölkerung";"Geburtsort - Total";1
"2018";"......0576 Grindelwald";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0577 Gsteigwiler";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0578 Gündlischwand";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0579 Habkern";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0580 Hofstetten bei Brienz";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0581 Interlaken";"Ständige Wohnbevölkerung";"Geburtsort - Total";13
"2018";"......0582 Iseltwald";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0584 Lauterbrunnen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0585 Leissigen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0586 Lütschental";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0587 Matten bei Interlaken";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0588 Niederried bei Interlaken";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0589 Oberried am Brienzersee";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0590 Ringgenberg (BE)";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0591 Saxeten";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0592 Schwanden bei Brienz";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0593 Unterseen";"Ständige Wohnbevölkerung";"Geburtsort - Total";16
"2018";"......0594 Wilderswil";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0782 Guttannen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0783 Hasliberg";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0784 Innertkirchen";"Ständige Wohnbevölkerung";"Geburtsort - Total";1
"2018";"......0785 Meiringen";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
"2018";"......0786 Schattenhalb";"Ständige Wohnbevölkerung";"Geburtsort - Total";0
