objekt_id,kategorie,objekt_strasse,objekt_ort,plz,zimmer,nutzflaeche,nettomiete,nebenkosten,bruttomiete
6242734,Wohnung,Winterholzstrasse 55,Bern,3018,3.5,96,2050,220,2270
6248503,Wohnung,Seminarstrasse 25,Bern,3006,1.5,82,1740,220,1960
6249138,Wohnung,Melchenbühlweg 81,Bern,3006,5.5,NULL,3400,300,3700
6250716,Wohnung,Giacomettistrasse 8,Bern,3006,2.5,NULL,1200,170,1370
6251279,Wohnung,Badhausstrasse 21,Ittigen,3063,2.5,NULL,1160,180,1340
6253082,Wohnung,NULL,Bern,3006,1,30,1440,NULL,1440
6254812,Wohnung,Ostring 24,Bern,3006,2.5,65,1500,150,1650
6255779,Wohnung,,Bern,3000,NULL,NULL,1082,160,1242
6258934,Wohnung,Myrtenweg 31,Bern,3018,2.5,NULL,1200,200,1400
6265689,Wohnung,Obereyfeldweg 25 A,Ittigen,3063,2.5,NULL,1100,200,1300
6273742,Wohnung,Blockweg 8,Bern,3007,4.5,146,2770,430,3200
6280354,Wohnung,NULL,Bern,3000,2,80,1450,NULL,1450
6286734,Wohnung,Monbijoustrasse 29,Bern,3011,2,66,1400,130,1530
6289497,Wohnung,NULL,Bern,3006,2,70,2280,NULL,2280
6291330,Wohnung,Dennigkofenweg 77,Gümligen,3073,3.5,NULL,1450,240,1690
6335655,Wohnung,Forstweg 65,Bern,3012,1,NULL,670,115,785
6335664,Wohnung,Jurablickweg 19,Ostermundigen,3072,NULL,NULL,250,30,280
6335750,Wohnung,Talstrasse 34a,Thörishaus,3174,4.5,NULL,1500,190,1690
6337329,Wohnung,Randweg 17,Bern,3013,1,44,790,160,950
6337338,Wohnung,Randweg 17,Bern,3013,3.5,85,1460,230,1690
6338803,Wohnung,Breitenrainstrasse 11,Bern,3013,4.5,NULL,2790,305,3095
6338814,Wohnung,Mittelholzerstrasse 14,Bern,3006,3,NULL,1145,275,1420
6339043,Wohnung,Bernstrasse 48,Ostermundigen,3072,2,NULL,1085,190,1275
6343577,Wohnung,Schwarzenburgstrasse 583,Gasel,3144,4.5,95,1670,300,1970
6344270,Wohnung,Brückfeldstr. 19,Bern,3012,2,44,1320,170,1490
6344481,Wohnung,Mitteldorfstrasse 17,Ostermundigen,3072,2.5,70,1200,250,1450
6346248,Wohnung,Murtenstrasse 108,Frauenkappelen,3202,3.5,94,1900,250,2150
6346984,Wohnung,Bernstrasse 128,Ostermundigen,3072,3,NULL,1290,220,1510
6347537,Wohnung,Breitenrainstrasse 31,Bern,3013,1,NULL,NULL,NULL,660
6347596,Wohnung,Mittelstrasse 53,Bern,3012,1,33,890,110,1000
